




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (1146)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
renal tubule morphogenesis (GO:0061333)	66	16	3.67	+	4.36	4.97E-06	2.72E-04
positive regulation of protein phosphorylation (GO:0001934)	838	81	46.63	+	1.74	5.19E-06	2.83E-04
ear morphogenesis (GO:0042471)	120	22	6.68	+	3.29	5.24E-06	2.84E-04
transmembrane transport (GO:0055085)	1276	112	71.00	+	1.58	5.38E-06	2.91E-04
regulation of cell adhesion (GO:0030155)	731	73	40.68	+	1.79	5.59E-06	3.01E-04
visual system development (GO:0150063)	368	45	20.48	+	2.20	5.69E-06	3.06E-04
forebrain neuron differentiation (GO:0021879)	51	14	2.84	+	4.93	5.77E-06	3.09E-04
regulation of MAPK cascade (GO:0043408)	707	71	39.34	+	1.80	6.01E-06	3.21E-04
cellular response to DNA damage stimulus (GO:0006974)	793	17	44.13	-	.39	6.05E-06	3.22E-04
dorsal/ventral pattern formation (GO:0009953)	76	17	4.23	+	4.02	6.42E-06	3.41E-04
positive regulation of phosphorylation (GO:0042327)	921	87	51.25	+	1.70	6.47E-06	3.42E-04
collagen fibril organization (GO:0030199)	103	20	5.73	+	3.49	6.58E-06	3.47E-04
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	522	57	29.05	+	1.96	7.03E-06	3.69E-04
angiogenesis (GO:0001525)	318	40	17.69	+	2.26	7.15E-06	3.74E-04
positive regulation of animal organ morphogenesis (GO:0110110)	31	11	1.72	+	6.38	7.86E-06	4.10E-04
cell motility (GO:0048870)	1109	100	61.71	+	1.62	7.98E-06	4.13E-04
localization of cell (GO:0051674)	1109	100	61.71	+	1.62	7.98E-06	4.15E-04
pancreas development (GO:0031016)	69	16	3.84	+	4.17	8.08E-06	4.17E-04
excitatory chemical synaptic transmission (GO:0098976)	9	7	.50	+	13.98	8.34E-06	4.30E-04
regulation of cell junction assembly (GO:1901888)	202	30	11.24	+	2.67	8.57E-06	4.40E-04
positive regulation of transport (GO:0051050)	947	88	52.70	+	1.67	8.73E-06	4.46E-04
cellular ion homeostasis (GO:0006873)	659	67	36.67	+	1.83	9.04E-06	4.61E-04
sensory perception of sound (GO:0007605)	156	25	8.68	+	2.88	1.00E-05	5.03E-04
proteolysis involved in cellular protein catabolic process (GO:0051603)	609	11	33.89	-	.32	1.01E-05	5.03E-04
diencephalon development (GO:0021536)	79	17	4.40	+	3.87	1.00E-05	5.03E-04
forebrain generation of neurons (GO:0021872)	62	15	3.45	+	4.35	9.97E-06	5.03E-04
positive regulation of ion transport (GO:0043270)	297	38	16.53	+	2.30	9.92E-06	5.04E-04
SMAD protein signal transduction (GO:0060395)	62	15	3.45	+	4.35	9.97E-06	5.05E-04
organic substance catabolic process (GO:1901575)	1769	58	98.44	-	.59	1.11E-05	5.56E-04
positive regulation of cell development (GO:0010720)	300	38	16.69	+	2.28	1.14E-05	5.65E-04
artery morphogenesis (GO:0048844)	63	15	3.51	+	4.28	1.17E-05	5.82E-04
negative regulation of cell motility (GO:2000146)	285	37	15.86	+	2.33	1.18E-05	5.82E-04
intracellular transport (GO:0046907)	1464	45	81.46	-	.55	1.21E-05	5.93E-04
regulation of NMDA receptor activity (GO:2000310)	40	12	2.23	+	5.39	1.26E-05	6.16E-04
retina development in camera-type eye (GO:0060041)	148	24	8.24	+	2.91	1.26E-05	6.16E-04
regulation of neuron apoptotic process (GO:0043523)	210	30	11.69	+	2.57	1.26E-05	6.18E-04
regulation of presynapse organization (GO:0099174)	33	11	1.84	+	5.99	1.28E-05	6.20E-04
regulation of presynapse assembly (GO:1905606)	33	11	1.84	+	5.99	1.28E-05	6.22E-04
response to lipid (GO:0033993)	831	79	46.24	+	1.71	1.34E-05	6.47E-04
glutamate receptor signaling pathway (GO:0007215)	48	13	2.67	+	4.87	1.40E-05	6.64E-04
cell cycle (GO:0007049)	1316	39	73.23	-	.53	1.38E-05	6.64E-04
heart morphogenesis (GO:0003007)	241	33	13.41	+	2.46	1.40E-05	6.65E-04
chemical homeostasis (GO:0048878)	1139	101	63.38	+	1.59	1.39E-05	6.65E-04
mRNA processing (GO:0006397)	486	7	27.04	-	.26	1.39E-05	6.67E-04
positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)	198	29	11.02	+	2.63	1.39E-05	6.67E-04
negative regulation of cell migration (GO:0030336)	270	35	15.02	+	2.33	1.45E-05	6.88E-04
ionotropic glutamate receptor signaling pathway (GO:0035235)	27	10	1.50	+	6.66	1.50E-05	7.09E-04
positive regulation of cation transmembrane transport (GO:1904064)	171	26	9.52	+	2.73	1.53E-05	7.20E-04
cellular cation homeostasis (GO:0030003)	642	65	35.72	+	1.82	1.54E-05	7.20E-04
cellular macromolecule biosynthetic process (GO:0034645)	1639	53	91.20	-	.58	1.55E-05	7.24E-04
negative regulation of transcription by RNA polymerase II (GO:0000122)	906	84	50.41	+	1.67	1.55E-05	7.24E-04
negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090101)	140	23	7.79	+	2.95	1.58E-05	7.32E-04
regulation of tube diameter (GO:0035296)	130	22	7.23	+	3.04	1.60E-05	7.33E-04
odontogenesis (GO:0042476)	120	21	6.68	+	3.14	1.59E-05	7.35E-04
blood vessel diameter maintenance (GO:0097746)	130	22	7.23	+	3.04	1.60E-05	7.35E-04
negative regulation of cellular component movement (GO:0051271)	293	37	16.30	+	2.27	1.59E-05	7.37E-04
cell differentiation in spinal cord (GO:0021515)	49	13	2.73	+	4.77	1.68E-05	7.72E-04
sensory perception of chemical stimulus (GO:0007606)	543	9	30.22	-	.30	1.70E-05	7.78E-04
regulation of tube size (GO:0035150)	131	22	7.29	+	3.02	1.77E-05	8.07E-04
cellular response to stimulus (GO:0051716)	6807	450	378.77	+	1.19	1.83E-05	8.31E-04
nephron morphogenesis (GO:0072028)	66	15	3.67	+	4.08	1.89E-05	8.56E-04
regulation of angiogenesis (GO:0045765)	282	36	15.69	+	2.29	1.90E-05	8.57E-04
negative regulation of secretion by cell (GO:1903531)	142	23	7.90	+	2.91	1.93E-05	8.67E-04
positive regulation of cellular component movement (GO:0051272)	558	58	31.05	+	1.87	2.08E-05	9.31E-04
regulation of molecular function (GO:0065009)	3118	229	173.50	+	1.32	2.08E-05	9.32E-04
regulation of developmental growth (GO:0048638)	320	39	17.81	+	2.19	2.10E-05	9.36E-04
positive regulation of response to stimulus (GO:0048584)	2312	178	128.65	+	1.38	2.10E-05	9.36E-04
regulation of neurotransmitter levels (GO:0001505)	218	30	12.13	+	2.47	2.13E-05	9.45E-04
vascular process in circulatory system (GO:0003018)	251	33	13.97	+	2.36	2.14E-05	9.47E-04
protein-containing complex subunit organization (GO:0043933)	1605	52	89.31	-	.58	2.15E-05	9.48E-04
developmental growth (GO:0048589)	358	42	19.92	+	2.11	2.17E-05	9.54E-04
positive regulation of locomotion (GO:0040017)	560	58	31.16	+	1.86	2.17E-05	9.55E-04
regulation of smooth muscle cell migration (GO:0014910)	67	15	3.73	+	4.02	2.20E-05	9.63E-04
regulation of vasculature development (GO:1901342)	286	36	15.91	+	2.26	2.24E-05	9.77E-04
mesonephros development (GO:0001823)	85	17	4.73	+	3.59	2.28E-05	9.95E-04
response to external stimulus (GO:0009605)	2525	191	140.50	+	1.36	2.32E-05	1.01E-03
growth (GO:0040007)	361	42	20.09	+	2.09	2.46E-05	1.07E-03
double-strand break repair (GO:0006302)	204	0	11.35	-	 < 0.01	2.51E-05	1.09E-03
cellular response to chemical stimulus (GO:0070887)	2914	215	162.15	+	1.33	2.67E-05	1.15E-03
regulation of phosphorus metabolic process (GO:0051174)	1578	129	87.81	+	1.47	2.80E-05	1.20E-03
regulation of phosphate metabolic process (GO:0019220)	1578	129	87.81	+	1.47	2.80E-05	1.20E-03
response to growth factor (GO:0070848)	526	55	29.27	+	1.88	2.82E-05	1.20E-03
protein-DNA complex assembly (GO:0065004)	256	1	14.25	-	.07	2.83E-05	1.21E-03
learning (GO:0007612)	146	23	8.12	+	2.83	2.84E-05	1.21E-03
hypothalamus development (GO:0021854)	23	9	1.28	+	7.03	2.84E-05	1.21E-03
homeostatic process (GO:0042592)	1680	136	93.48	+	1.45	2.86E-05	1.21E-03
positive regulation of potassium ion transport (GO:0043268)	69	15	3.84	+	3.91	2.96E-05	1.25E-03
cellular catabolic process (GO:0044248)	1812	62	100.83	-	.61	2.98E-05	1.25E-03
nervous system process (GO:0050877)	1416	118	78.79	+	1.50	3.10E-05	1.30E-03
regulation of vesicle-mediated transport (GO:0060627)	530	55	29.49	+	1.86	3.13E-05	1.31E-03
regulation of heart contraction (GO:0008016)	230	31	12.80	+	2.42	3.14E-05	1.31E-03
protein localization to organelle (GO:0033365)	742	17	41.29	-	.41	3.21E-05	1.33E-03
negative regulation of BMP signaling pathway (GO:0030514)	61	14	3.39	+	4.12	3.24E-05	1.34E-03
protein-DNA complex subunit organization (GO:0071824)	296	2	16.47	-	.12	3.39E-05	1.40E-03
negative regulation of nervous system development (GO:0051961)	148	23	8.24	+	2.79	3.44E-05	1.42E-03
somite development (GO:0061053)	79	16	4.40	+	3.64	3.45E-05	1.42E-03
positive regulation of molecular function (GO:0044093)	1618	131	90.03	+	1.46	3.48E-05	1.43E-03
cell-cell adhesion (GO:0098609)	515	54	28.66	+	1.88	3.50E-05	1.43E-03
muscle tissue development (GO:0060537)	301	37	16.75	+	2.21	3.53E-05	1.44E-03
cellular chemical homeostasis (GO:0055082)	762	72	42.40	+	1.70	3.58E-05	1.46E-03
ribonucleoprotein complex subunit organization (GO:0071826)	196	0	10.91	-	 < 0.01	3.74E-05	1.52E-03
positive regulation of potassium ion transmembrane transport (GO:1901381)	62	14	3.45	+	4.06	3.78E-05	1.53E-03
nephron tubule morphogenesis (GO:0072078)	62	14	3.45	+	4.06	3.78E-05	1.53E-03
artery development (GO:0060840)	89	17	4.95	+	3.43	3.81E-05	1.54E-03
positive regulation of cell motility (GO:2000147)	545	56	30.33	+	1.85	3.83E-05	1.54E-03
ureteric bud development (GO:0001657)	80	16	4.45	+	3.59	3.94E-05	1.58E-03
cardiac chamber morphogenesis (GO:0003206)	119	20	6.62	+	3.02	4.16E-05	1.66E-03
negative regulation of transport (GO:0051051)	430	47	23.93	+	1.96	4.17E-05	1.66E-03
cellular response to growth factor stimulus (GO:0071363)	497	52	27.66	+	1.88	4.16E-05	1.66E-03
cellular response to organic substance (GO:0071310)	2344	178	130.43	+	1.36	4.38E-05	1.73E-03
negative regulation of transcription, DNA-templated (GO:0045892)	1297	109	72.17	+	1.51	4.38E-05	1.74E-03
striated muscle tissue development (GO:0014706)	286	35	15.91	+	2.20	4.42E-05	1.75E-03
mesonephric epithelium development (GO:0072163)	81	16	4.51	+	3.55	4.49E-05	1.77E-03
mesonephric tubule development (GO:0072164)	81	16	4.51	+	3.55	4.49E-05	1.77E-03
regulation of potassium ion transport (GO:0043266)	120	20	6.68	+	3.00	4.62E-05	1.81E-03
regulation of response to wounding (GO:1903034)	162	24	9.01	+	2.66	4.65E-05	1.82E-03
regulation of intracellular signal transduction (GO:1902531)	1839	145	102.33	+	1.42	4.70E-05	1.83E-03
secondary palate development (GO:0062009)	25	9	1.39	+	6.47	4.82E-05	1.88E-03
response to drug (GO:0042493)	394	44	21.92	+	2.01	4.91E-05	1.91E-03
regulation of wound healing (GO:0061041)	131	21	7.29	+	2.88	4.99E-05	1.93E-03
regulation of BMP signaling pathway (GO:0030510)	101	18	5.62	+	3.20	5.09E-05	1.97E-03
nephron epithelium morphogenesis (GO:0072088)	64	14	3.56	+	3.93	5.11E-05	1.97E-03
macromolecule biosynthetic process (GO:0009059)	1680	57	93.48	-	.61	5.26E-05	2.02E-03
cell cycle process (GO:0022402)	957	26	53.25	-	.49	5.38E-05	2.07E-03
ribonucleoprotein complex assembly (GO:0022618)	189	0	10.52	-	 < 0.01	5.56E-05	2.13E-03
negative regulation of nucleic acid-templated transcription (GO:1903507)	1299	109	72.28	+	1.51	5.66E-05	2.15E-03
endocrine pancreas development (GO:0031018)	40	11	2.23	+	4.94	5.66E-05	2.16E-03
negative regulation of RNA biosynthetic process (GO:1902679)	1301	109	72.39	+	1.51	5.72E-05	2.17E-03
metencephalon development (GO:0022037)	112	19	6.23	+	3.05	5.74E-05	2.18E-03
kidney morphogenesis (GO:0060993)	83	16	4.62	+	3.46	5.80E-05	2.19E-03
mitotic cell cycle process (GO:1903047)	675	15	37.56	-	.40	5.93E-05	2.24E-03
peptide biosynthetic process (GO:0043043)	414	6	23.04	-	.26	5.98E-05	2.25E-03
modification-dependent macromolecule catabolic process (GO:0043632)	563	11	31.33	-	.35	6.03E-05	2.26E-03
cardiac ventricle development (GO:0003231)	123	20	6.84	+	2.92	6.27E-05	2.35E-03
positive regulation of ion transmembrane transport (GO:0034767)	187	26	10.41	+	2.50	6.88E-05	2.57E-03
regulation of neuronal synaptic plasticity (GO:0048168)	49	12	2.73	+	4.40	6.87E-05	2.57E-03
cerebellum development (GO:0021549)	104	18	5.79	+	3.11	7.10E-05	2.64E-03
positive regulation of synaptic transmission (GO:0050806)	135	21	7.51	+	2.80	7.32E-05	2.72E-03
response to alcohol (GO:0097305)	253	32	14.08	+	2.27	7.36E-05	2.73E-03
camera-type eye morphogenesis (GO:0048593)	125	20	6.96	+	2.88	7.64E-05	2.82E-03
protein catabolic process (GO:0030163)	697	16	38.78	-	.41	7.69E-05	2.83E-03
catabolic process (GO:0009056)	2096	77	116.63	-	.66	7.68E-05	2.83E-03
regulation of RNA biosynthetic process (GO:2001141)	3480	247	193.64	+	1.28	7.73E-05	2.83E-03
epithelial cell differentiation (GO:0030855)	686	65	38.17	+	1.70	8.42E-05	3.08E-03
positive regulation of cell migration (GO:0030335)	520	53	28.94	+	1.83	8.58E-05	3.13E-03
regulation of potassium ion transmembrane transport (GO:1901379)	106	18	5.90	+	3.05	8.81E-05	3.20E-03
positive regulation of protein tyrosine kinase activity (GO:0061098)	59	13	3.28	+	3.96	8.81E-05	3.20E-03
telencephalon cell migration (GO:0022029)	59	13	3.28	+	3.96	8.81E-05	3.21E-03
neural retina development (GO:0003407)	68	14	3.78	+	3.70	9.01E-05	3.25E-03
chemical synaptic transmission, postsynaptic (GO:0099565)	68	14	3.78	+	3.70	9.01E-05	3.26E-03
regulation of transcription, DNA-templated (GO:0006355)	3474	246	193.31	+	1.27	9.06E-05	3.26E-03
regulation of nucleic acid-templated transcription (GO:1903506)	3475	246	193.36	+	1.27	9.09E-05	3.27E-03
regulation of cell growth (GO:0001558)	422	45	23.48	+	1.92	9.20E-05	3.30E-03
negative regulation of secretion (GO:0051048)	165	24	9.18	+	2.61	9.45E-05	3.38E-03
ureteric bud morphogenesis (GO:0060675)	51	12	2.84	+	4.23	9.55E-05	3.41E-03
negative regulation of cell development (GO:0010721)	180	25	10.02	+	2.50	9.75E-05	3.47E-03
regulation of chemotaxis (GO:0050920)	226	29	12.58	+	2.31	9.84E-05	3.49E-03
cell fate determination (GO:0001709)	43	11	2.39	+	4.60	9.83E-05	3.49E-03
regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	262	32	14.58	+	2.19	1.03E-04	3.65E-03
locomotory behavior (GO:0007626)	181	25	10.07	+	2.48	1.04E-04	3.66E-03
muscle organ development (GO:0007517)	283	34	15.75	+	2.16	1.05E-04	3.70E-03
positive regulation of cytosolic calcium ion concentration (GO:0007204)	283	34	15.75	+	2.16	1.05E-04	3.71E-03
central nervous system neuron development (GO:0021954)	88	16	4.90	+	3.27	1.06E-04	3.73E-03
ubiquitin-dependent protein catabolic process (GO:0006511)	545	11	30.33	-	.36	1.08E-04	3.77E-03
cochlea development (GO:0090102)	52	12	2.89	+	4.15	1.12E-04	3.89E-03
mesonephric tubule morphogenesis (GO:0072171)	52	12	2.89	+	4.15	1.12E-04	3.90E-03
modification-dependent protein catabolic process (GO:0019941)	552	11	30.72	-	.36	1.12E-04	3.90E-03
memory (GO:0007613)	119	19	6.62	+	2.87	1.17E-04	4.06E-03
negative regulation of cellular response to growth factor stimulus (GO:0090288)	109	18	6.07	+	2.97	1.21E-04	4.17E-03
metal ion transport (GO:0030001)	326	37	18.14	+	2.04	1.23E-04	4.25E-03
DNA recombination (GO:0006310)	225	1	12.52	-	.08	1.25E-04	4.31E-03
positive regulation of cell death (GO:0010942)	638	61	35.50	+	1.72	1.35E-04	4.62E-03
forebrain cell migration (GO:0021885)	62	13	3.45	+	3.77	1.36E-04	4.66E-03
chordate embryonic development (GO:0043009)	613	59	34.11	+	1.73	1.42E-04	4.87E-03
forebrain neuron development (GO:0021884)	30	9	1.67	+	5.39	1.54E-04	5.21E-03
regulation of hemostasis (GO:1900046)	72	14	4.01	+	3.49	1.53E-04	5.22E-03
positive regulation of smooth muscle contraction (GO:0045987)	30	9	1.67	+	5.39	1.54E-04	5.22E-03
regulation of axonogenesis (GO:0050770)	161	23	8.96	+	2.57	1.53E-04	5.23E-03
cardiac chamber development (GO:0003205)	162	23	9.01	+	2.55	1.60E-04	5.43E-03
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	222	28	12.35	+	2.27	1.62E-04	5.47E-03
adult behavior (GO:0030534)	133	20	7.40	+	2.70	1.62E-04	5.47E-03
odontogenesis of dentin-containing tooth (GO:0042475)	82	15	4.56	+	3.29	1.63E-04	5.49E-03
chromosome organization (GO:0051276)	1064	32	59.21	-	.54	1.67E-04	5.62E-03
reflex (GO:0060004)	17	7	.95	+	7.40	1.74E-04	5.83E-03
skeletal system morphogenesis (GO:0048705)	224	28	12.46	+	2.25	1.81E-04	6.06E-03
autonomic nervous system development (GO:0048483)	47	11	2.62	+	4.21	1.93E-04	6.43E-03
regulation of osteoblast proliferation (GO:0033688)	24	8	1.34	+	5.99	1.97E-04	6.53E-03
muscle organ morphogenesis (GO:0048644)	74	14	4.12	+	3.40	1.97E-04	6.54E-03
response to inorganic substance (GO:0010035)	553	54	30.77	+	1.75	1.99E-04	6.60E-03
response to steroid hormone (GO:0048545)	285	33	15.86	+	2.08	2.01E-04	6.65E-03
cellular protein metabolic process (GO:0044267)	3590	152	199.76	-	.76	2.12E-04	7.01E-03
positive regulation of kinase activity (GO:0033674)	614	58	34.17	+	1.70	2.13E-04	7.03E-03
developmental growth involved in morphogenesis (GO:0060560)	115	18	6.40	+	2.81	2.18E-04	7.17E-03
response to hormone (GO:0009725)	819	73	45.57	+	1.60	2.19E-04	7.19E-03
regulation of neurotransmitter transport (GO:0051588)	105	17	5.84	+	2.91	2.27E-04	7.43E-03
ameboidal-type cell migration (GO:0001667)	181	24	10.07	+	2.38	2.29E-04	7.48E-03
segmentation (GO:0035282)	95	16	5.29	+	3.03	2.32E-04	7.55E-03
anterior/posterior axon guidance (GO:0033564)	7	5	.39	+	12.84	2.34E-04	7.61E-03
connective tissue development (GO:0061448)	202	26	11.24	+	2.31	2.40E-04	7.78E-03
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1540	121	85.69	+	1.41	2.47E-04	8.01E-03
positive regulation of cation channel activity (GO:2001259)	76	14	4.23	+	3.31	2.50E-04	8.08E-03
positive regulation of transmembrane transport (GO:0034764)	238	29	13.24	+	2.19	2.50E-04	8.09E-03
gastrulation (GO:0007369)	157	22	8.74	+	2.52	2.53E-04	8.14E-03
positive regulation of cellular component organization (GO:0051130)	1161	96	64.60	+	1.49	2.56E-04	8.21E-03
ephrin receptor signaling pathway (GO:0048013)	86	15	4.79	+	3.13	2.58E-04	8.27E-03
embryo development ending in birth or egg hatching (GO:0009792)	633	59	35.22	+	1.68	2.63E-04	8.41E-03
multicellular organismal response to stress (GO:0033555)	67	13	3.73	+	3.49	2.65E-04	8.47E-03
positive regulation of protein modification process (GO:0031401)	1079	90	60.04	+	1.50	2.71E-04	8.63E-03
cellular process (GO:0009987)	15495	916	862.21	+	1.06	2.76E-04	8.77E-03
muscle contraction (GO:0006936)	241	29	13.41	+	2.16	2.82E-04	8.94E-03
RNA catabolic process (GO:0006401)	248	2	13.80	-	.14	2.82E-04	8.95E-03
mitotic cell cycle (GO:0000278)	750	20	41.73	-	.48	2.87E-04	9.08E-03
nuclear export (GO:0051168)	166	0	9.24	-	 < 0.01	3.00E-04	9.45E-03
pallium development (GO:0021543)	173	23	9.63	+	2.39	3.02E-04	9.50E-03
cell surface receptor signaling pathway involved in cell-cell signaling (GO:1905114)	420	43	23.37	+	1.84	3.11E-04	9.76E-03
DNA conformation change (GO:0071103)	312	4	17.36	-	.23	3.20E-04	1.00E-02
axis specification (GO:0009798)	88	15	4.90	+	3.06	3.21E-04	1.00E-02
negative regulation of macromolecule biosynthetic process (GO:0010558)	1551	121	86.30	+	1.40	3.23E-04	1.01E-02
ossification (GO:0001503)	267	31	14.86	+	2.09	3.32E-04	1.03E-02
negative regulation of ion transport (GO:0043271)	148	21	8.24	+	2.55	3.32E-04	1.03E-02
mesenchymal cell differentiation (GO:0048762)	162	22	9.01	+	2.44	3.32E-04	1.04E-02
peptide metabolic process (GO:0006518)	544	12	30.27	-	.40	3.35E-04	1.04E-02
synapse assembly (GO:0007416)	99	16	5.51	+	2.90	3.49E-04	1.08E-02
regulation of pathway-restricted SMAD protein phosphorylation (GO:0060393)	60	12	3.34	+	3.59	3.55E-04	1.09E-02
regulation of smooth muscle contraction (GO:0006940)	60	12	3.34	+	3.59	3.55E-04	1.09E-02
associative learning (GO:0008306)	79	14	4.40	+	3.18	3.55E-04	1.09E-02
metanephros development (GO:0001656)	79	14	4.40	+	3.18	3.55E-04	1.09E-02
peripheral nervous system development (GO:0007422)	79	14	4.40	+	3.18	3.55E-04	1.10E-02
mesoderm development (GO:0007498)	121	18	6.73	+	2.67	3.79E-04	1.16E-02
immunoglobulin mediated immune response (GO:0016064)	201	1	11.18	-	.09	3.80E-04	1.16E-02
positive regulation of potassium ion transmembrane transporter activity (GO:1901018)	27	8	1.50	+	5.32	3.82E-04	1.16E-02
regulation of blood coagulation (GO:0030193)	70	13	3.90	+	3.34	3.85E-04	1.17E-02
embryonic pattern specification (GO:0009880)	70	13	3.90	+	3.34	3.85E-04	1.17E-02
response to nitrogen compound (GO:1901698)	1101	91	61.26	+	1.49	3.88E-04	1.17E-02
cellular homeostasis (GO:0019725)	895	77	49.80	+	1.55	3.94E-04	1.19E-02
sex differentiation (GO:0007548)	272	31	15.14	+	2.05	4.00E-04	1.21E-02
B cell mediated immunity (GO:0019724)	205	1	11.41	-	.09	4.02E-04	1.21E-02
protein transport (GO:0015031)	1300	44	72.34	-	.61	4.03E-04	1.21E-02
retina morphogenesis in camera-type eye (GO:0060042)	61	12	3.39	+	3.54	4.05E-04	1.22E-02
regulation of animal organ morphogenesis (GO:2000027)	183	24	10.18	+	2.36	4.11E-04	1.23E-02
negative regulation of RNA metabolic process (GO:0051253)	1408	111	78.35	+	1.42	4.28E-04	1.28E-02
establishment of protein localization to organelle (GO:0072594)	394	7	21.92	-	.32	4.29E-04	1.28E-02
negative regulation of response to external stimulus (GO:0032102)	559	53	31.11	+	1.70	4.38E-04	1.30E-02
regulation of neurotransmitter secretion (GO:0046928)	91	15	5.06	+	2.96	4.40E-04	1.30E-02
regulation of postsynapse organization (GO:0099175)	91	15	5.06	+	2.96	4.40E-04	1.31E-02
formation of primary germ layer (GO:0001704)	112	17	6.23	+	2.73	4.43E-04	1.31E-02
regulation of kinase activity (GO:0043549)	914	78	50.86	+	1.53	4.50E-04	1.33E-02
ventral spinal cord development (GO:0021517)	44	10	2.45	+	4.08	4.57E-04	1.35E-02
cerebral cortex cell migration (GO:0021795)	44	10	2.45	+	4.08	4.57E-04	1.35E-02
organonitrogen compound catabolic process (GO:1901565)	1091	35	60.71	-	.58	4.60E-04	1.35E-02
somitogenesis (GO:0001756)	62	12	3.45	+	3.48	4.61E-04	1.35E-02
negative regulation of biosynthetic process (GO:0009890)	1643	126	91.42	+	1.38	4.59E-04	1.35E-02
epithelial cell development (GO:0002064)	202	25	11.24	+	2.22	4.71E-04	1.38E-02
negative regulation of hemostasis (GO:1900047)	53	11	2.95	+	3.73	4.72E-04	1.38E-02
regulation of blood pressure (GO:0008217)	188	24	10.46	+	2.29	4.81E-04	1.40E-02
response to ethanol (GO:0045471)	141	20	7.85	+	2.55	4.81E-04	1.40E-02
detection of mechanical stimulus involved in sensory perception (GO:0050974)	36	9	2.00	+	4.49	4.84E-04	1.40E-02
response to corticosteroid (GO:0031960)	168	22	9.35	+	2.35	4.83E-04	1.40E-02
negative regulation of response to wounding (GO:1903035)	92	15	5.12	+	2.93	4.87E-04	1.41E-02
negative regulation of cellular biosynthetic process (GO:0031327)	1610	124	89.59	+	1.38	4.96E-04	1.43E-02
bone development (GO:0060348)	189	24	10.52	+	2.28	5.01E-04	1.44E-02
positive regulation of protein kinase activity (GO:0045860)	539	51	29.99	+	1.70	5.09E-04	1.46E-02
intracellular protein transport (GO:0006886)	781	22	43.46	-	.51	5.12E-04	1.47E-02
positive regulation of developmental growth (GO:0048639)	169	22	9.40	+	2.34	5.15E-04	1.47E-02
calcium ion transmembrane transport (GO:0070588)	190	24	10.57	+	2.27	5.22E-04	1.49E-02
negative regulation of neurogenesis (GO:0050768)	143	20	7.96	+	2.51	5.21E-04	1.49E-02
reproductive process (GO:0022414)	1459	114	81.19	+	1.40	5.26E-04	1.50E-02
protein-containing complex assembly (GO:0065003)	1358	47	75.57	-	.62	5.26E-04	1.50E-02
regulation of peptide secretion (GO:0002791)	226	27	12.58	+	2.15	5.29E-04	1.50E-02
stem cell differentiation (GO:0048863)	157	21	8.74	+	2.40	5.31E-04	1.50E-02
reproduction (GO:0000003)	1462	114	81.35	+	1.40	5.34E-04	1.51E-02
hypothalamus cell differentiation (GO:0021979)	9	5	.50	+	9.98	5.41E-04	1.53E-02
rRNA metabolic process (GO:0016072)	272	3	15.14	-	.20	5.43E-04	1.53E-02
regulation of anatomical structure size (GO:0090066)	514	49	28.60	+	1.71	5.46E-04	1.53E-02
calcium ion transport into cytosol (GO:0060402)	73	13	4.06	+	3.20	5.47E-04	1.53E-02
inhibitory postsynaptic potential (GO:0060080)	9	5	.50	+	9.98	5.41E-04	1.53E-02
regulation of regulated secretory pathway (GO:1903305)	144	20	8.01	+	2.50	5.46E-04	1.53E-02
transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)	191	24	10.63	+	2.26	5.45E-04	1.53E-02
muscle cell differentiation (GO:0042692)	247	29	13.74	+	2.11	5.52E-04	1.54E-02
regulation of muscle cell differentiation (GO:0051147)	145	20	8.07	+	2.48	5.72E-04	1.59E-02
regulation of peptide transport (GO:0090087)	228	27	12.69	+	2.13	5.72E-04	1.59E-02
negative regulation of growth (GO:0045926)	249	29	13.86	+	2.09	5.75E-04	1.59E-02
regulation of ossification (GO:0030278)	115	17	6.40	+	2.66	5.80E-04	1.61E-02
biomineral tissue development (GO:0031214)	94	15	5.23	+	2.87	5.94E-04	1.63E-02
response to BMP (GO:0071772)	94	15	5.23	+	2.87	5.94E-04	1.64E-02
cellular response to BMP stimulus (GO:0071773)	94	15	5.23	+	2.87	5.94E-04	1.64E-02
biomineralization (GO:0110148)	94	15	5.23	+	2.87	5.94E-04	1.64E-02
heart valve morphogenesis (GO:0003179)	55	11	3.06	+	3.59	6.19E-04	1.70E-02
positive regulation of vasculature development (GO:1904018)	160	21	8.90	+	2.36	6.38E-04	1.74E-02
